Date;Indice CNR gazole professionnel
2022-01;190.06
2022-02;200.66
2022-03;252.55
2022-04;239.87
2022-05;243.06
2022-06;270.23
2022-07;254.38
2022-08;244.74
2022-09;242.71
2022-10;278.23
2022-11;243.19
2022-12;217.77
2023-01;222.98
2023-02;213.45
2023-03;213.75
2023-04;204.6
2023-05;191.12
2023-06;192.89
2023-07;197.36
2023-08;215.12
2023-09;224.45
2023-10;218.8
2023-11;209.36
2023-12;202.73
2024-01;201.7
2024-02;210.21
2024-03;206.31
2024-04;204.89
2024-05;196.57
2024-06;195.53
2024-07;196.19
2024-08;188.39
2024-09;180.81
