;latitude;longitude;population;surface;densité_population;indice_CNR;USD_to_EUR;EUR_to_USD;cours_baril_en_USD;²;nb_entreprise_ensemble;nb_entreprise_industrie;nb_entreprise_construction;nb_entreprise_commerce;nb_entreprise_info_communication;nb_entreprise_autres_services;nb_entreprise_sciences_techno;nb_entreprise_immobilier;nb_entreprise_finance_assurance;nb_entreprise_santé_enseign_adminis;nb_exploit_agricole;prix
latitude;1,000;-0,246;-0,086;-0,050;-0,028;-0,001;0,002;-0,003;-0,004;-0,388;-0,072;-0,120;-0,132;-0,059;-0,030;-0,081;-0,062;-0,079;-0,069;-0,076;-0,245;0,004
longitude;-0,246;1,000;0,049;-0,050;0,024;0,004;-0,003;0,003;0,003;0,266;0,038;0,037;0,049;0,037;0,029;0,035;0,037;0,030;0,026;0,043;-0,111;-0,020
population;-0,086;0,049;1,000;-0,043;0,258;0,009;-0,008;0,008;0,006;0,051;0,439;0,419;0,458;0,376;0,401;0,402;0,473;0,466;0,508;0,451;0,172;-0,006
surface;-0,050;-0,050;-0,043;1,000;-0,085;0,001;-0,001;0,002;0,000;-0,041;-0,056;-0,070;-0,076;-0,062;-0,043;-0,062;-0,045;-0,046;-0,041;-0,056;0,012;0,089
densité_population;-0,028;0,024;0,258;-0,085;1,000;0,005;-0,003;0,004;0,002;0,020;-0,003;-0,002;-0,002;-0,003;-0,003;-0,004;-0,003;-0,003;-0,004;-0,003;0,012;-0,011
indice_CNR;-0,001;0,004;0,009;0,001;0,005;1,000;-0,794;0,811;0,788;0,170;-0,002;-0,002;-0,002;-0,002;-0,002;-0,002;-0,002;-0,002;-0,002;-0,002;-0,002;0,324
USD_to_EUR;0,002;-0,003;-0,008;-0,001;-0,003;-0,794;1,000;-0,978;-0,690;-0,134;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,002;-0,311
EUR_to_USD;-0,003;0,003;0,008;0,002;0,004;0,811;-0,978;1,000;0,667;0,164;-0,002;-0,002;-0,002;-0,002;-0,002;-0,002;-0,002;-0,002;-0,002;-0,002;-0,002;0,310
cours_baril_en_USD;-0,004;0,003;0,006;0,000;0,002;0,788;-0,690;0,667;1,000;0,330;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,000;0,329
tmoy;-0,388;0,266;0,051;-0,041;0,020;0,170;-0,134;0,164;0,330;1,000;0,059;0,078;0,088;0,054;0,038;0,063;0,054;0,056;0,055;0,061;0,086;0,064
nb_entreprise_ensemble;-0,072;0,038;0,439;-0,056;-0,003;-0,002;0,001;-0,002;0,001;0,059;1,000;0,957;0,969;0,991;0,975;0,993;0,993;0,981;0,982;0,996;0,259;-0,043
nb_entreprise_industrie;-0,120;0,037;0,419;-0,070;-0,002;-0,002;0,001;-0,002;0,001;0,078;0,957;1,000;0,978;0,953;0,880;0,957;0,927;0,936;0,942;0,955;0,365;-0,052
nb_entreprise_construction;-0,132;0,049;0,458;-0,076;-0,002;-0,002;0,001;-0,002;0,001;0,088;0,969;0,978;1,000;0,961;0,906;0,964;0,946;0,938;0,952;0,967;0,343;-0,045
nb_entreprise_commerce;-0,059;0,037;0,376;-0,062;-0,003;-0,002;0,001;-0,002;0,001;0,054;0,991;0,953;0,961;1,000;0,968;0,987;0,974;0,958;0,954;0,981;0,251;-0,038
nb_entreprise_info_communication;-0,030;0,029;0,401;-0,043;-0,003;-0,002;0,001;-0,002;0,001;0,038;0,975;0,880;0,906;0,968;1,000;0,963;0,984;0,952;0,948;0,966;0,170;-0,035
nb_entreprise_autres_services;-0,081;0,035;0,402;-0,062;-0,004;-0,002;0,001;-0,002;0,001;0,063;0,993;0,957;0,964;0,987;0,963;1,000;0,979;0,970;0,966;0,991;0,289;-0,042
nb_entreprise_sciences_techno;-0,062;0,037;0,473;-0,045;-0,003;-0,002;0,001;-0,002;0,001;0,054;0,993;0,927;0,946;0,974;0,984;0,979;1,000;0,979;0,986;0,990;0,230;-0,043
nb_entreprise_immobilier;-0,079;0,030;0,466;-0,046;-0,003;-0,002;0,001;-0,002;0,001;0,056;0,981;0,936;0,938;0,958;0,952;0,970;0,979;1,000;0,980;0,980;0,256;-0,047
nb_entreprise_finance_assurance;-0,069;0,026;0,508;-0,041;-0,004;-0,002;0,001;-0,002;0,001;0,055;0,982;0,942;0,952;0,954;0,948;0,966;0,986;0,980;1,000;0,984;0,241;-0,048
nb_entreprise_santé_enseign_adminis;-0,076;0,043;0,451;-0,056;-0,003;-0,002;0,001;-0,002;0,001;0,061;0,996;0,955;0,967;0,981;0,966;0,991;0,990;0,980;0,984;1,000;0,252;-0,045
nb_exploit_agricole;-0,245;-0,111;0,172;0,012;0,012;-0,002;0,002;-0,002;0,000;0,086;0,259;0,365;0,343;0,251;0,170;0,289;0,230;0,256;0,241;0,252;1,000;-0,006
prix;0,004;-0,020;-0,006;0,089;-0,011;0,324;-0,311;0,310;0,329;0,064;-0,043;-0,052;-0,045;-0,038;-0,035;-0,042;-0,043;-0,047;-0,048;-0,045;-0,006;1,000
